# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2005hk  53674.34  17.082   0.031  17.158   0.035  16.975   0.043  16.995   0.051  99.999  99.999    kait3
 2005hk  53675.23  16.834   0.020  16.920   0.024  16.765   0.024  16.770   0.042  99.999  99.999    kait3
 2005hk  53677.23  16.439   0.020  16.549   0.022  16.365   0.023  16.362   0.034  99.999  99.999    kait3
 2005hk  53679.28  16.179   0.017  16.251   0.018  16.105   0.021  16.104   0.027  99.999  99.999    kait3
 2005hk  53680.20  16.101   0.018  16.165   0.016  16.010   0.016  16.008   0.018  99.999  99.999    kait3
 2005hk  53684.25  15.956   0.036  15.875   0.073  15.512   0.092  99.999  99.999  99.999  99.999    kait3
 2005hk  53689.20  16.124   0.096  15.812   0.030  15.573   0.030  15.520   0.037  99.999  99.999    kait3
 2005hk  53690.25  16.209   0.040  15.785   0.024  15.599   0.018  15.550   0.026  99.999  99.999    kait3
 2005hk  53691.21  16.391   0.035  15.829   0.018  15.588   0.019  15.524   0.016  99.999  99.999    kait3
 2005hk  53692.20  16.454   0.030  15.843   0.016  15.622   0.016  15.482   0.019  99.999  99.999    kait3
 2005hk  53693.18  16.606   0.029  15.882   0.018  15.619   0.015  15.460   0.018  99.999  99.999    kait3
 2005hk  53694.23  16.795   0.031  15.942   0.019  15.618   0.019  15.441   0.019  99.999  99.999    kait3
 2005hk  53695.24  16.906   0.032  15.995   0.019  99.999  99.999  99.999  99.999  99.999  99.999    kait3
 2005hk  53696.16  17.070   0.033  16.066   0.019  15.664   0.018  15.474   0.016  99.999  99.999    kait3
 2005hk  53697.15  17.208   0.039  16.120   0.022  15.683   0.023  15.503   0.028  99.999  99.999    kait3
 2005hk  53698.19  17.368   0.030  16.201   0.017  15.753   0.018  15.531   0.018  99.999  99.999    kait3
 2005hk  53701.21  17.783   0.043  16.461   0.019  15.912   0.021  15.612   0.022  99.999  99.999    kait3
 2005hk  53708.17  18.375   0.070  16.942   0.032  16.342   0.030  15.928   0.030  99.999  99.999    kait3
 2005hk  53710.19  18.441   0.054  17.039   0.038  16.420   0.025  16.014   0.027  99.999  99.999    kait3
 2005hk  53718.13  18.653   0.103  17.316   0.039  16.760   0.031  16.330   0.038  99.999  99.999    kait3
 2005hk  53747.10  19.048   0.271  17.946   0.131  17.566   0.111  17.201   0.100  99.999  99.999    kait3
 2005hk  53757.11  19.338   0.154  18.129   0.075  17.772   0.069  17.323   0.067  99.999  99.999    kait3
 2005hk  53760.11  19.386   0.179  18.158   0.084  17.877   0.107  17.355   0.089  99.999  99.999    kait3
 2005ki  53694.57  17.218   0.055  17.201   0.101  17.112   0.150  17.016   0.092  99.999  99.999    kait3
 2005ki  53696.50  16.540   0.042  16.568   0.058  16.415   0.081  16.448   0.131  99.999  99.999    kait3
 2005ki  53698.51  16.146   0.039  16.179   0.056  15.944   0.075  15.756   0.222  99.999  99.999    kait3
 2005ki  53700.58  15.879   0.027  15.898   0.048  15.768   0.068  15.803   0.051  99.999  99.999    kait3
 2005ki  53709.57  15.881   0.029  15.723   0.036  15.651   0.044  16.103   0.073  99.999  99.999    kait3
 2005ki  53711.54  15.973   0.031  15.809   0.041  15.778   0.058  16.278   0.090  99.999  99.999    kait3
 2005ki  53716.48  16.513   0.033  16.137   0.044  16.241   0.066  16.601   0.147  99.999  99.999    kait3
 2005ki  53718.54  16.789   0.051  16.284   0.046  16.329   0.057  16.585   0.103  99.999  99.999    kait3
 2005ki  53720.50  17.071   0.054  16.385   0.056  16.339   0.087  16.529   0.126  99.999  99.999    kait3
 2005ki  53733.42  18.454   0.095  17.343   0.110  16.899   0.119  16.243   0.361  99.999  99.999    kait3
 2005ki  53740.47  18.778   0.093  17.683   0.084  17.354   0.068  17.215   0.067  99.999  99.999    kait3
 2005ki  53743.56  18.981   0.086  17.754   0.049  17.436   0.044  17.298   0.059  99.999  99.999    kait3
 2005ki  53745.49  18.814   0.108  17.872   0.094  17.517   0.120  17.375   0.167  99.999  99.999    kait3
 2005ki  53755.44  18.961   0.174  18.129   0.192  18.029   0.244  99.999  99.999  99.999  99.999    kait3
 2005ki  53758.47  19.184   0.084  18.255   0.070  18.042   0.079  18.058   0.104  99.999  99.999    kait3
 2005ki  53760.44  19.154   0.123  18.247   0.119  18.061   0.182  18.106   0.073  99.999  99.999    kait3
 2005ki  53765.45  19.256   0.069  18.412   0.058  18.325   0.065  18.358   0.097  99.999  99.999    kait3
 2005ki  53770.44  19.383   0.165  18.533   0.142  18.411   0.056  18.570   0.087  99.999  99.999    kait3
 2005ki  53774.44  19.331   0.178  18.639   0.151  18.575   0.073  18.835   0.152  99.999  99.999    kait3
 2005ki  53787.38  19.585   0.088  19.102   0.123  19.214   0.130  19.366   0.265  99.999  99.999    kait3
 2005ki  53790.37  19.646   0.201  19.075   0.091  19.137   0.100  19.276   0.165  99.999  99.999    kait3
 2005ki  53813.35  20.006   0.293  19.790   0.357  19.995   0.408  19.328   0.304  99.999  99.999    kait3
 2006ev  54028.83  20.561   0.214  19.449   0.145  19.107   0.161  18.646   0.164  99.999  99.999  nickel1
 2006ev  54029.83  20.571   0.329  19.474   0.128  19.222   0.151  18.721   0.105  99.999  99.999  nickel1
 2006mq  54045.50  15.215   0.070  13.790   0.025  13.299   0.018  12.896   0.017  99.999  99.999    kait3
