# Full, machine-readable Table B3 from Stahl et al. 2019
# Natural System Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2005hk  53674.34  17.086   0.031  17.156   0.035  16.987   0.040  16.995   0.051  99.999  99.999    kait3
 2005hk  53675.23  16.839   0.020  16.917   0.024  16.775   0.022  16.770   0.042  99.999  99.999    kait3
 2005hk  53677.23  16.445   0.020  16.545   0.022  16.377   0.021  16.362   0.034  99.999  99.999    kait3
 2005hk  53678.21  99.999  99.999  99.999  99.999  99.999  99.999  16.246   0.084  99.999  99.999    kait3
 2005hk  53679.28  16.183   0.017  16.249   0.018  16.114   0.019  16.104   0.027  99.999  99.999    kait3
 2005hk  53680.20  16.105   0.018  16.163   0.016  16.020   0.015  16.008   0.018  99.999  99.999    kait3
 2005hk  53684.25  15.951   0.036  15.878   0.073  15.535   0.086  99.999  99.999  99.999  99.999    kait3
 2005hk  53689.20  16.106   0.096  15.822   0.030  15.588   0.028  15.520   0.037  99.999  99.999    kait3
 2005hk  53690.25  16.185   0.039  15.799   0.024  15.611   0.016  15.550   0.026  99.999  99.999    kait3
 2005hk  53691.21  16.359   0.033  15.847   0.018  15.603   0.017  15.524   0.016  99.999  99.999    kait3
 2005hk  53692.20  16.419   0.028  15.863   0.015  15.636   0.014  15.482   0.019  99.999  99.999    kait3
 2005hk  53693.18  16.565   0.026  15.905   0.017  15.636   0.013  15.460   0.018  99.999  99.999    kait3
 2005hk  53694.23  16.746   0.027  15.969   0.018  15.639   0.017  15.440   0.018  99.999  99.999    kait3
 2005hk  53695.24  16.854   0.027  16.024   0.018  99.999  99.999  99.999  99.999  99.999  99.999    kait3
 2005hk  53696.16  17.013   0.028  16.098   0.018  15.690   0.015  15.473   0.015  99.999  99.999    kait3
 2005hk  53697.15  17.146   0.034  16.155   0.021  15.711   0.020  15.502   0.027  99.999  99.999    kait3
 2005hk  53698.19  17.301   0.022  16.238   0.015  15.782   0.015  15.530   0.017  99.999  99.999    kait3
 2005hk  53701.21  17.708   0.036  16.503   0.017  15.947   0.017  15.611   0.020  99.999  99.999    kait3
 2005hk  53708.17  18.293   0.065  16.988   0.030  16.380   0.026  15.927   0.028  99.999  99.999    kait3
 2005hk  53710.19  18.361   0.048  17.084   0.037  16.460   0.021  16.013   0.025  99.999  99.999    kait3
 2005hk  53718.13  18.577   0.100  17.359   0.038  16.796   0.027  16.329   0.037  99.999  99.999    kait3
 2005hk  53747.10  18.985   0.270  17.981   0.130  17.590   0.103  17.200   0.100  99.999  99.999    kait3
 2005hk  53757.11  19.269   0.152  18.168   0.074  17.795   0.064  17.322   0.067  99.999  99.999    kait3
 2005hk  53760.11  19.316   0.177  18.197   0.083  17.895   0.100  17.354   0.089  99.999  99.999    kait3
 2005hk  54029.94  99.999  99.999  21.501   0.510  21.532   0.532  20.253   0.365  99.999  99.999  nickel1
 2005hk  54332.09  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  nickel1
 2005ki  53694.57  17.217   0.055  17.202   0.101  17.118   0.140  17.016   0.092  99.999  99.999    kait3
 2005ki  53696.50  16.542   0.042  16.567   0.058  16.425   0.076  16.448   0.131  99.999  99.999    kait3
 2005ki  53698.51  16.148   0.039  16.178   0.056  15.959   0.070  15.756   0.222  99.999  99.999    kait3
 2005ki  53700.58  15.880   0.027  15.897   0.048  15.776   0.064  15.803   0.051  99.999  99.999    kait3
 2005ki  53707.42  99.999  99.999  15.659   0.044  15.581   0.060  16.008   0.117  99.999  99.999    kait3
 2005ki  53709.57  15.872   0.029  15.728   0.036  15.656   0.041  16.103   0.073  99.999  99.999    kait3
 2005ki  53711.54  15.964   0.031  15.814   0.041  15.780   0.054  16.278   0.090  99.999  99.999    kait3
 2005ki  53713.58  99.999  99.999  15.952   0.053  15.993   0.058  16.490   0.088  99.999  99.999    kait3
 2005ki  53716.48  16.492   0.032  16.149   0.044  16.234   0.062  16.601   0.147  99.999  99.999    kait3
 2005ki  53718.54  16.760   0.050  16.300   0.046  16.326   0.053  16.585   0.103  99.999  99.999    kait3
 2005ki  53720.50  17.032   0.052  16.407   0.056  16.342   0.081  16.529   0.126  99.999  99.999    kait3
 2005ki  53733.42  18.391   0.092  17.379   0.110  16.927   0.111  16.242   0.361  99.999  99.999    kait3
 2005ki  53736.54  18.654   0.552  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait3
 2005ki  53740.47  18.716   0.091  17.718   0.084  17.375   0.063  17.215   0.067  99.999  99.999    kait3
 2005ki  53743.56  18.911   0.083  17.793   0.048  17.456   0.041  17.298   0.059  99.999  99.999    kait3
 2005ki  53745.49  18.760   0.106  17.902   0.094  17.540   0.112  17.375   0.167  99.999  99.999    kait3
 2005ki  53747.44  18.938   0.428  99.999  99.999  17.706   0.172  17.543   0.239  99.999  99.999    kait3
 2005ki  53755.44  18.914   0.173  18.156   0.192  18.035   0.228  99.999  99.999  99.999  99.999    kait3
 2005ki  53758.47  19.131   0.082  18.285   0.070  18.056   0.074  18.058   0.104  99.999  99.999    kait3
 2005ki  53760.44  19.102   0.121  18.276   0.119  18.073   0.170  18.106   0.073  99.999  99.999    kait3
 2005ki  53765.45  19.208   0.067  18.439   0.058  18.331   0.061  18.358   0.097  99.999  99.999    kait3
 2005ki  53770.44  19.335   0.164  18.560   0.142  18.419   0.052  18.570   0.087  99.999  99.999    kait3
 2005ki  53774.44  19.292   0.177  18.661   0.151  18.579   0.068  18.835   0.152  99.999  99.999    kait3
 2005ki  53777.36  99.999  99.999  99.999  99.999  18.747   0.114  18.891   0.226  99.999  99.999    kait3
 2005ki  53787.38  19.557   0.087  19.117   0.123  19.207   0.121  19.366   0.265  99.999  99.999    kait3
 2005ki  53790.37  19.613   0.200  19.093   0.091  19.133   0.093  19.276   0.165  99.999  99.999    kait3
 2005ki  53813.35  19.994   0.292  19.797   0.357  19.982   0.381  19.328   0.304  99.999  99.999    kait3
 2006ev  54028.83  20.459   0.212  19.508   0.144  19.137   0.146  18.611   0.171  99.999  99.999  nickel1
 2006ev  54029.83  20.470   0.326  19.532   0.126  19.244   0.137  18.688   0.109  99.999  99.999  nickel1
 2006ev  54267.12  99.999  99.999  99.999  99.999  99.999  99.999  20.863   0.454  99.999  99.999  nickel1
 2006ev  54288.12  99.999  99.999  99.999  99.999  21.601   0.555  20.986   0.469  99.999  99.999  nickel1
 2006ev  54317.04  21.860   0.471  99.999  99.999  99.999  99.999  21.146   0.474  99.999  99.999  nickel1
 2006mq  54045.50  15.134   0.065  13.836   0.023  13.330   0.014  12.895   0.014  99.999  99.999    kait3
 2006mq  54048.56  15.244   0.038  13.939   0.009  13.479   0.015  13.050   0.020  99.999  99.999    kait3
 2006mq  54055.51  15.434   0.016  14.245   0.015  13.837   0.015  13.465   0.014  99.999  99.999    kait3
 2006mq  54064.16  15.644   0.042  14.607   0.066  99.999  99.999  13.976   0.037  99.999  99.999  nickel1
 2006mq  54068.54  15.669   0.062  14.698   0.062  14.345   0.049  14.190   0.038  99.999  99.999    kait3
 2006mq  54073.41  15.725   0.019  14.817   0.020  14.478   0.016  14.420   0.027  99.999  99.999    kait3
 2006mq  54080.52  15.822   0.018  14.994   0.025  14.719   0.026  14.752   0.036  99.999  99.999    kait3
 2006mq  54119.00  16.442   0.143  16.046   0.138  15.954   0.201  16.346   0.367  99.999  99.999  nickel1
 2006mq  54146.93  16.927   0.182  99.999  99.999  16.720   0.362  16.907   0.399  99.999  99.999  nickel1
 2006mq  54173.88  17.326   0.296  17.035   0.336  17.321   0.486  17.543   0.427  99.999  99.999  nickel1
  2007F  54114.54  16.710   0.038  16.686   0.026  16.583   0.026  16.612   0.038  99.999  99.999    kait3
  2007F  54116.57  16.354   0.026  16.375   0.022  16.282   0.024  16.330   0.032  99.999  99.999    kait3
  2007F  54118.52  16.172   0.034  16.189   0.034  16.100   0.041  16.218   0.030  99.999  99.999    kait3
  2007F  54120.56  16.014   0.032  16.036   0.026  15.974   0.014  16.159   0.024  99.999  99.999    kait3
  2007F  54122.54  16.025   0.026  15.971   0.019  15.935   0.020  16.183   0.028  99.999  99.999    kait3
  2007F  54124.55  16.091   0.028  15.991   0.020  15.894   0.017  16.219   0.033  99.999  99.999    kait3
  2007F  54126.59  16.095   0.026  16.013   0.022  15.892   0.025  16.296   0.048  99.999  99.999    kait3
  2007F  54130.52  16.249   0.035  16.113   0.020  16.030   0.020  16.495   0.039  99.999  99.999    kait3
